total lines: 169
1) line size: 6
  44) x: 121  y: 210
  45) x: 121  y: 209
  46) x: 120  y: 209
  47) x: 120  y: 208
  48) x: 120  y: 207
  49) x: 120  y: 206
  50) x: 121  y: 206
54) line size: 9
  1) x: 104  y: 194
  2) x: 106  y: 193
  3) x: 108  y: 191
  4) x: 108  y: 190
  5) x: 109  y: 188
  6) x: 110  y: 187
  7) x: 110  y: 186
  8) x: 110  y: 185
  9) x: 110  y: 184
55) line size: 55
  1) x: 66  y: 54
  2) x: 66  y: 56
  3) x: 66  y: 58
  4) x: 67  y: 58
  5) x: 69  y: 59
  6) x: 71  y: 59
  7) x: 73  y: 59
  8) x: 75  y: 59
  9) x: 77  y: 59
  10) x: 79  y: 59
  11) x: 81  y: 58
  12) x: 81  y: 57
  13) x: 81  y: 56
  14) x: 81  y: 55
  15) x: 81  y: 54
  16) x: 81  y: 53
  17) x: 80  y: 53
  18) x: 79  y: 53
  19) x: 78  y: 53
  20) x: 77  y: 53
  21) x: 76  y: 53
  22) x: 75  y: 53
  23) x: 74  y: 53
  24) x: 74  y: 52
  25) x: 74  y: 51
  26) x: 74  y: 50
  27) x: 74  y: 49
  28) x: 74  y: 48
  29) x: 74  y: 47
  30) x: 74  y: 46
  31) x: 76  y: 46
  32) x: 78  y: 46
  33) x: 80  y: 46
  34) x: 81  y: 46
  35) x: 81  y: 45
  36) x: 81  y: 44
  37) x: 81  y: 43
  38) x: 81  y: 42
  39) x: 81  y: 41
  40) x: 80  y: 41
  41) x: 79  y: 41
  42) x: 78  y: 41
  43) x: 77  y: 41
  44) x: 76  y: 41
  45) x: 75  y: 41
  46) x: 74  y: 41
  47) x: 73  y: 41
  48) x: 72  y: 41
  49) x: 71  y: 41
  50) x: 70  y: 41
  51) x: 69  y: 41
  52) x: 68  y: 41
  53) x: 67  y: 42
  54) x: 67  y: 43
  55) x: 67  y: 41
56) line size: 6
  1) x: 27  y: 52
  2) x: 28  y: 54
  3) x: 28  y: 56
  4) x: 28  y: 57
  5) x: 28  y: 55
  6) x: 27  y: 57
57) line size: 17
  1) x: 107  y: 183
  2) x: 108  y: 182
  3) x: 110  y: 180
  4) x: 112  y: 179
  5) x: 114  y: 178
